"id","order","start.url","titulo","barra","club","pais","cancion"
"2553","1648751331-4538","https://barrabrava.net/atlas/barra-51/letra/ya-te-olvide/","""Ya te olvide""","Barra 51"," Atlas","México","te alentamos de local y visitante siempre voy a todas partes solo nunca te deje por en atlas soy un fiel enamorado aunque ganes aunque pierdas estare te jure fidelidad toda la vida atlas eres la alegria hoy no podemos perder porque esta gente se merece festejar otra vez y siempre vamo' akd"
"2554","1648752276-5001","https://barrabrava.net/newells-old-boys/la-hinchada-mas-popular/letra/que-loca-esta-la-hinchada/","""Que loca esta la hinchada""","La Hinchada Más Popular"," Newell's Old Boys","Argentina","Que loca está la hinchada que nunca abandona la que va a todas partes no para de alentar yo te doy mi vida sos un sentimiento y por todo eso te juro que nunca te voy a dejar."
"2555","1648751098-4472","https://barrabrava.net/river-plate/los-borrachos-del-tablon/letra/en-la-final-de-mendoza-nos-viste-salir-campeones/","""En la Final de Mendoza nos viste salir campeones""","Los Borrachos del Tablón"," River Plate","Argentina","De la mano del Muñeco te sacamos de 2 copas, vos tiraste Gas Pimienta cuando fuimos a La Boca En la Final de Mendoza nos viste salir campeones pero te faltaba vernos Ganar la *Libertadores Se lo dedicamos a Boca papa, y a toda la Policía, te dimos la vuelta en el Bernabeu, no te olvidas en la vida...."
"2556","1648752779-5244","https://barrabrava.net/river-plate/los-borrachos-del-tablon/letra/vamos-river-plate-ponga-huevo/","""Vamos River Plate, ponga huevo!""","Los Borrachos del Tablón"," River Plate","Argentina","Vamos River Plate, ponga huevo! Vamos River Plate, ponga huevo! Vamos River Plate, ponga huevo! Vamos River Plate, ponga huevo! Millonario te vinimo' a ver, ponga huevo no podés perder, te llevamos en el corazón, te queremos ver salir campeón!"
"2557","1648750235-4105","https://barrabrava.net/nueva-chicago/los-pibes-de-chicago/letra/como-te-va-moron/","""Como te va morón?""","Los Pibes de Chicago"," Nueva Chicago","Argentina","como te va moron?? como te va a todas partes vos llevas a yuta atras aguante no tenes siempre corres andate gallo sos la puta de la B"
"2558","1648754374-6016","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/en-el-barrio-de-boedo-hay-carnaval/","""En el barrio de boedo hay carnaval""","La Gloriosa Butteler"," San Lorenzo","Argentina","En el barrio de boedo hay carnaval Yo te sigo a donde vallas a jugar La Gloriosa se hizo grande de verdad Se hizo grande sin custodia policial Se fua a la B Volvio a la A Yo a vos te sigo a donde vas La banda esta Nunca se fue Es la gloriosa butteler"
"2559","1648751126-4486","https://barrabrava.net/bahia/movimento-turma-tricolor/letra/seremos-do-tricolor-por-toda-a-vida/","""Seremos do tricolor por toda a vida""","Movimento Turma Tricolor"," Bahia","Brasil","Seremos do tricolor por toda a vida Tu és a minha paixão, a minha alegria Bahia é um sentimento Que se leva no coração Daria toda minha vida pra ser campeão Dale dale ohh Dale dale ohh Dale dale ohh Dale dale ohh"
"2560","1648752552-5138","https://barrabrava.net/instituto/los-capangas/letra/todo-aquel-que-piense-que-la-gloria/","""Todo aquel que piense que la Gloria...""","Los Capangas"," Instituto","Argentina","Todo aquel que piense que la Gloria va a volver tiene que saber que no es asi que la gloria va dar la vuelta va a dar la vuelta vas a ver que al cuervo lo vamos hacer correr a los putos de river plate tambien y a boca lo cogeremos lo cogeremos hay hay que alentar que la Gloria es un carnaval y la vuelta vamos a dar uoooo ohohoh"
"2561","1648750005-3992","https://barrabrava.net/flamengo/nacao-12/letra/de-a-vida-por-essa-camisa/","""De a vida por essa camisa""","Nação 12"," Flamengo","Brasil","O Flamengo é a nossa vida Te apoiamos de coração Ma pra vestir essa camisa É preciso garra e disposição bota mais raça bota mais coração Isso é Flamengo Nossa religião Nunca desista de a vida por essa camisa bota mais raça bota mais coração Isso é Flamengo Nossa religião Nunca desista de o sangue por essa torcida"
"2562","1648751610-4676","https://barrabrava.net/club-deportivo-olimpia/la-ultra-fiel/letra/esa-es-la-porra-puta-de-los-chanchos/","""Esa Es La Porra Puta De Los Chanchos""","La Ultra Fiel"," Club Deportivo Olimpia","Honduras","Esa es la porra puta de los chanchos, la que tiró los tiros y se fué a la mierda. Se quedaron sin más balas, empezaron a correr. Los tiros que vos tiraste van a devolver. ¡Chacho cagón! ¡Chacho cagón! ¡Chacho cagón! ¡Chacho cagón!"
"2563","1648752264-4995","https://barrabrava.net/zulia/la-petrolera/letra/soy-petrolero/","""Soy Petrolero""","La Petrolera"," Zulia","Venezuela","Ole Ole Ole Ole Ole Ole Ola Ole Ole Ole Cada día te quiero mas, Yo soy petrolero, Es un sentimiento, Que no puedo parar"
"2564","1648749716-3894","https://barrabrava.net/fluminense/o-bravo-ano-de-52/letra/no-rio-de-janeiro-ha-uma-banda/","""No Rio de Janeiro há uma banda""","O Bravo Ano de 52"," Fluminense","Brasil","No Rio de Janeiro há uma banda Que te segue Fluminense,aonde vá Os que nunca vão perder a esperança Não importa se perder ou se ganhar Oh Tricolor Sempre poderá contar com meu amor Fluzão Queremos te ver sempre campeão"
"2565","1648749730-3901","https://barrabrava.net/deportivo-municipal/la-banda-del-basurero/letra/hay-que-alentar-todos-juntos-por-la-academia/","""Hay que alentar todos juntos, por la Academia""","La Banda del Basurero"," Deportivo Municipal","Peru","Hay que alentar todos juntos, por la Academia, hay que ponerle mas huevos, saquénse la mierda no hay que parar de alentar, hoy tenemos que ganar."
"2566","1648753160-5429","https://barrabrava.net/botafogo/loucos-pelo-botafogo/letra/da-lhe-botafogo/","""Dá-lhe Botafogo""","Loucos pelo Botafogo"," Botafogo","Brasil","Dá-lhe Dá-lhe Botafogo E nessa Noite/Tarde O Botafogo vai ganhar"
"2567","1648754216-5938","https://barrabrava.net/gremio/geral-do-gremio/letra/te-sigo-desde-pequeno/","""Te Sigo Desde Pequeno""","Geral do Grêmio"," Grêmio","Brasil","Vamos Grêmio tu és copeiro e hoje temos que ganhar eu te sigo desde pequeno já não posso mais parar"
"2568","1648753722-5697","https://barrabrava.net/colo-colo/garra-blanca/letra/sabe-que-el-albo-es-el-mas-popular/","""Sabe que el albo es el mas popular""","Garra Blanca"," Colo-Colo","Chile","Saben que el albo es el mas popular Saben que el albo siempre va campeonar Saben que siempre te alentamos ohhh Y que nunca te fallamos campeon Eso saben."
"2569","1648750633-4272","https://barrabrava.net/gremio/geral-do-gremio/letra/danrlei/","""Danrlei""","Geral do Grêmio"," Grêmio","Brasil","Danrlei, Danrlei, Danrlei tu é nosso amigo, Danrlei, Danrlei, Geral esta contigo! São muitos anos de glória, Danrlei, tu é nossa história Danrlei, tu é tricolor, com muita raça e amor!"
"2570","1648753462-5576","https://barrabrava.net/emelec/boca-del-pozo/letra/tu-eres-mi-amigo-del-alma-realmente-el-amigo/","""Tu eres mi amigo del alma realmente el amigo""","Boca del Pozo"," Emelec","Ecuador","Tu eres mi amigo del alma realmente el amigo que adonde quieras que tu vayas yo estaré contigo primero segundo en la b, yo siempre te alentare cuando fuimos al basurero y todos nos vieron ustedes los pacos la prensa salieron corriendo llegaba la boca del pozo con bombo y bandera haciendo g**vadas en este estadio de a v**ga se viene la boca del pozo, se viene la boca del pozo, se viene la boca del pozo, para ser campeón."
"2571","1648751621-4681","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/llego-la-banda-de-huracan-fiat-600/","""Llego la banda de huracan (fiat 600)""","La Gloriosa Butteler"," San Lorenzo","Argentina","Llego la banda de huracan mirenlos que pocos son que vienen en fiat 600 Y en un ciclomotor La justicia los condena Esto no se aguanta mas San lorenzo pierde un hijo Y la patria potestad Se fue a la ""B"" Se fue al descenso Hay por favor un minuto de silencio Te quiero asi que hinchada fina Fumando porro y tomando cocahina"
"2572","1648752786-5248","https://barrabrava.net/aragua/los-vikingos/letra/aragua-querido-aragua-adorado/","""Aragua querido, Aragua adorado""","Los Vikingos"," Aragua","Venezuela","Aragua querido, Aragua adorado Acá esta tu hinchada que te vino a ver Por eso te quiero, por eso te canto Por eso te llevo, en el corazón"
"2573","1648750034-4005","https://barrabrava.net/all-boys/la-peste-blanca/letra/yo-que-naci-en-floresta-en-floresta-morire/","""Yo que nací en Floresta, en Floresta moriré""","La Peste Blanca"," All Boys","Argentina","Yo que nací en Floresta, en Floresta moriré Yo quiero ir a las Malvinas a matar un ingles Yo no soy de chicago, yo no soy vigilante Porque tengo aguante yo soy hincha de All Boys Te sigo a todas partes cada vez te quiero mas Esta es tu hinchada que alienta, nunca te va abandonar!!"
"2574","1648749279-3678","https://barrabrava.net/atletico-nacional/los-del-sur/letra/queremos-ganar-la-copa-libertadores/","""Queremos ganar la copa libertadores""","Los del Sur"," Atlético Nacional","Colombia","Y vamos los verdolagas a ser campeones Queremos ganar la copa libertadores En la cancha pongan mas huevos Que esta tribuna no va a parar Y todos juntos la vuelta vamos a dar.. Vamos nacional Vamos nacional Vamos nacional Vamos nacional"
"2575","1648754453-6055","https://barrabrava.net/godoy-cruz/la-banda-del-expreso/letra/senores-largo-todo-me-voy-a-ver-al-tomba/","""Señores largo todo, me voy a ver al Tomba""","La Banda del Expreso"," Godoy Cruz","Argentina","Señores largo todo, me voy a ver al Tomba, se que los jugadores me van a demostrar, que salen a ganar, quieren salir campeón... Que lo llevan adentro, como lo llevo Yo."
"2576","1648751719-4730","https://barrabrava.net/tigre/la-barra-del-matador/letra/che-platense-la-puta-que-te-pario/","""Che Platense la puta que te pario""","La Barra Del Matador"," Tigre","Argentina","Che platense la puta que te pario Chamullaste y nunca fuste a la estación A Saavedra la vuelta fuimos a dar Esa tarde nunca mas la olvidaran El matador el matador Y dale dale matador El matado el matador El que no salta es del marron"
"2577","1648748788-3434","https://barrabrava.net/tigre/la-barra-del-matador/letra/los-vieron-corriendo-por-libertador/","""Los vieron corriendo por libertador""","La Barra Del Matador"," Tigre","Argentina","los vieron corriendo por libertador era el funebrero en una maraton que putoi que es chaca no sabe que hacer ven al matador y salen a correr"
"2578","1648751488-4615","https://barrabrava.net/talleres/la-fiel/letra/a-vos-que-sos-hincha-de-belgrano/","""A vos que sos hincha de Belgrano""","La Fiel"," Talleres","Argentina","A vos que sos hincha de Belgrano y nunca saliste campeón te pido que hagas memoria campeón salio el matador vos nunca podrás olvidarte aquella tarde en el chato te dimos la vuelta en la cara porque sos cagón ooooh"
"2579","1648752180-4953","https://barrabrava.net/coquimbo-unido/al-hueso-pirata/letra/vamos-los-piratas/","""Vamos los Piratas""","Al Hueso Pirata"," Coquimbo Unido","Chile","No se compara, esta hinchada alienta en buenas y malas Somos de Puerto, damos la vida por el Aurinegro Vamos, vamos, vamos los Piratas Tu hinchada está alentando Como en todas las canchas AL HUESO PIRATA está presente Tu eres el orgullo de toda mi gente"
"2580","1648751903-4815","https://barrabrava.net/olimpia/la-barra-79/letra/yo-desde-pendejo-de-olimpia-me-enamore/","""Yo.. desde pendejo de Olimpia me enamore""","La Barra 79"," Olimpia","Paraguay","Yo.. desde pendejo de Olimpia me enamore Blanco y negro tengo el corazón.. Vos.. sos la locura que no tiene explicación Es un placer estar hoy con vos.. Campeón.. no me importa nada siempre voy con vos, ningún resultado cambia esta pasión Aunque gane o pierda voy a todos lados.. Porque.. este sentimiento yo lo vivo así, Me corre en las venas desde que nací Y me va durar toda la vida entera.. Franjeado.. esta noche ponga huevo que ganamos, Esta hinchada siempre va estar a tu lado En los malos momentos ya lo demostramos.. En Olimpia, hay que dejar el alma hay que dejar la vida.. Que esa gloriosa franja mucho significa, La que da sentido a todos nuestros días.."
"2581","1648751135-4490","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/una-gitana-hermosa-tiro-las-cartas/","""Una gitana hermosa tiró las cartas""","La Gloriosa Butteler"," San Lorenzo","Argentina","Una gitana hermosa tiró las cartas Me dijo que San Lorenzo va a ser campeón Ya lo corrimo' al globo y no pasó nada Vamo' a correr a Boca que es un cagón Me lo digo una gitana, me lo dijo con fervor O largas la marihuana o te vas para el cajón Me lo dijo una gitana y no le quise creer, Yo le sigo dando al vino a los fasos y al papel"
"2582","1648751402-4573","https://barrabrava.net/internacional/guarda-popular/letra/sempre-louco-atras-do-gol/","""Sempre Louco Atrás do Gol""","Guarda Popular"," Internacional","Brasil","Sempre louco atras do gol acedendo um do bom EU VOU ... MATAR UM PUTO TRICOLOR E depois de me chapar e a cerveja acabar EU VOU ... MATAR UM PUTO TRICOLOR Vamo inter hoje temos que vencer Vamo inter hoje temos que vencer Dale dale dale ôôô"
"2583","1648748740-3410","https://barrabrava.net/emelec/boca-del-pozo/letra/la-boca-te-va-alentar/","""La boca Te Va Alentar""","Boca del Pozo"," Emelec","Ecuador","Yo soy de la BOCA DEL POZO Más conocida en el mundo entero Alentando al BOMBILLO Con la alegría de los boqueros Te sigo a todas a partes Donde quiera que vas a jugar Y digan lo que digan La boca del pozo te va alentar La boca te va alentar Te va alentar Te va alentar.."
"2584","1648750385-4179","https://barrabrava.net/independiente-medellin/rexixtenxia-norte/letra/sabes-todo-lo-que-siento/","""Sabes todo lo que siento""","Rexixtenxia Norte"," Independiente Medellín","Colombia","Sabes Todo Lo que siento Yo te Llevo Adentro De Mi corazon Vamos Vamos Mi MEDALLO Dame Una Alegria quiero ser campeon â™«â™ªâ™«"
"2585","1648749961-3975","https://barrabrava.net/aragua/los-vikingos/letra/pide-la-bendicion/","""Pide la bendicion""","Los Vikingos"," Aragua","Venezuela","Pide la bendición, pide la bendición Pide la bendición, granadicto maricon..."
"2586","1648752441-5083","https://barrabrava.net/celaya/la-demencia/letra/llegan-los-mas-locos-del-tablon/","""Llegan los más locos del tablón""","La Demencia"," Celaya","México","Llegan los más locos del tablón La barra descontrolada Y al que sigue siempre al blanquiazul A donde quiera yo vaya... !Dale Campeón! !Dale Campeón! !Dale Campeón! !Dale Campeón! !Dale Campeón! !Dale Campeón!"
"2587","1648753626-5649","https://barrabrava.net/velez-sarsfield/la-pandilla-de-liniers/letra/velez-se-metio-adentro-de-mi-corazon-y-nunca-mas-salio/","""Velez se metio adentro de mi corazon y nunca mas salio""","La Pandilla de Liniers"," Vélez Sarsfield","Argentina","Velez se metio adentro de mi corazon y nunca mas salio, no somos como el Ciclon ni la muerte podra separarme de esta pasion no se como explicar que solo vivo para vos Vamos Fortinero que tenemos que ganar la banda esta re loca, la vuelta quiere dar!"
